AQI,Class
63.050211613018604,1
49.91443289583333,0
59.54435726430976,0
62.21599633941345,0
65.6731626010101,0
53.88593563552189,0
43.67067958333333,1
56.60655648989899,1
95.90214542203148,0
103.46323697654941,0
85.83119873032905,0
78.49562218526466,0
63.43819320286195,0
82.87827401645208,1
85.26210035765381,1
73.50669773569024,0
71.37408904882155,0
95.60230345135909,0
67.88845610690237,0
41.815541493055555,0
35.17436833333333,1
36.099934166666664,1
49.449781875000006,0
61.44752718392256,0
51.65752611051502,0
67.84005659871245,0
71.11910882153076,0
68.07872743204578,1
65.2951407996633,1
67.81518130892255,0
68.46489181818181,0
119.63363607621443,0
160.20545354320336,0
126.7175576633166,0
89.97469113018599,1
79.84572255892256,1
70.91427210016835,0
82.84604547567955,0
68.12173632154882,0
69.78469630050506,0
87.54381022727273,0
75.87928186026937,1
112.17372567001675,1
96.78863884120173,0
157.47090243677556,0
152.68424182911838,0
122.69142895728645,0
82.39427525252525,0
125.66669746649916,1
91.32585123390558,1
88.7834297979798,0
69.48019945286195,0
75.37073621244636,0
53.95522995708155,0
83.04763946709586,0
60.26015126251789,1
87.86715836909872,1
57.93650449213162,0
37.170847048611115,0
61.75538039163091,0
56.19154404148784,0
63.114181936695275,0
59.86053166666667,1
42.992344618055554,1
68.52520514484979,0
24.817530625000003,0
32.836468958333334,0
71.88886315808298,0
85.6534398390558,0
154.70773680189674,1
115.04927671691792,1
172.41987518879523,0
167.7750482393748,0
164.63500853617842,0
99.91615333333334,0
76.86274984799714,0
47.99548263888889,1
60.00295918276109,1
98.02820573855509,0
130.90454610552766,0
119.0171871440536,0
60.750929583333324,0
126.14019484924626,0
73.51337684191702,1
65.32806266094421,1
48.34215572916666,0
71.052976083691,0
104.1549501336478,0
66.3937075983548,0
40.189539930555554,0
53.98771269849786,1
55.4678469009299,1
104.65387747068677,0
71.73928776645208,0
92.82213353004292,0
126.80060630234507,0
149.32181989112226,0
145.4411768634841,1
126.6311141122278,1
125.00339279731992,0
146.99338831658295,0
152.12072139093783,0
142.23110232412063,0
104.10796350502513,0
115.85327992043553,1
116.82611869765495,1
97.89388501430614,0
89.71614333333332,0
109.01666367252932,0
119.8622965871022,0
90.20801069384835,0
97.89528789341918,1
92.46600124999999,1
98.90249025393419,0
87.71295557939915,0
87.13033208512161,0
82.2328446494993,0
83.17190160944206,0
60.802481895565094,1
39.92486961805556,1
